start datetime,delta s,action,experiment,param,experiment id,comment,packet datetime
2025-12-12T08:00:00,,Status,,,,request status,2025-12-12T08:00:00
,20,Ping,,0x01545420524f58,,ping test 1,2025-12-12T08:00:20
,10,Ping,,0x025350414345,,ping test 2,2025-12-12T08:00:30
,10,Run,tt_contributors,,128,run the lottery,2025-12-12T08:00:40
,10,Result,,,,get lottery result,2025-12-12T08:00:50
,10,Status,,,,request status,2025-12-12T08:01:00
,10,Run,tt_um_oscillating_bones,0x10,3,run oscillator,2025-12-12T08:01:10
,10,Queue,tt_contributors,,128,queue lottery 2,2025-12-12T08:01:20
,10,Result,,,,check current results,2025-12-12T08:01:30
,20,Status,,,,status,2025-12-12T08:01:50
,20,Info,,,,info,2025-12-12T08:02:10
,10,Status,,,,status,2025-12-12T08:02:20
,10,Abort,,,,abort osc (should start contrib lot),2025-12-12T08:02:30
,10,Status,,,,status ,2025-12-12T08:02:40
,10,Result,,,,result,2025-12-12T08:02:50
,10,Reboot,,,,test reboot,2025-12-12T08:03:00
,50,Ping,,0x03424f4f544544,,ping post reboot,2025-12-12T08:03:50
,10,Run,rp2_temperature,0x00000040f0f0000,13,,2025-12-12T08:04:00
,10,Queue,tt_um_msg_in_a_bottle,,11,msg in a bottle,2025-12-12T08:04:10
,30,Result,,,,,2025-12-12T08:04:40
,40,Result,,,,,2025-12-12T08:05:20
,40,Result,,,,,2025-12-12T08:06:00
,10,Result,,,,,2025-12-12T08:06:10
,10,Run,tt_um_oscillating_bones,0x20,3,,2025-12-12T08:06:20
,10,Queue,rp2_temperature,0x00000010404,13,,2025-12-12T08:06:30
,30,Result,,,,,2025-12-12T08:07:00
,60,Result,,,,,2025-12-12T08:08:00
,1800,Result,,,,,2025-12-12T08:38:00
,10,Abort,,,,,2025-12-12T08:38:10
,20,Result,,,,,2025-12-12T08:38:30
,10,Run,tt_um_oscillating_bones,0x20,3,,2025-12-12T08:38:40
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
