start datetime,delta s,action,experiment,param,experiment id,,packet datetime
2026-01-10T08:00:00,10,Ping,,0x5454525831,,Ping TTRX1,2026-01-10T08:00:00
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,2026-01-10T08:00:10
,0,Queue,rp2_temperature,0x000000000F0000,13,Queue rp2_temperature,2026-01-10T08:00:10
,40,Abort,,,,abort osc bones auto-launching rp temp,2026-01-10T08:00:50
,10,Queue,tt_um_fstolzcode,,2,Queue tt_um_fstolzcode,2026-01-10T08:01:00
,40,Abort,,,,abort rp2 temp auto-starting tt_um_fstolzcode,2026-01-10T08:01:40
,240,Abort,,,,ensure tt_um_fstolzcode is done,2026-01-10T08:05:40
,0,Ping,,0x4c5031,,Ping LP1,2026-01-10T08:05:40
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,2026-01-10T08:05:50
,0,Queue,rp2_temperature,0x000000000F0000,13,Queue rp2_temperature,2026-01-10T08:05:50
,40,Abort,,,,abort osc bones auto-launching rp temp,2026-01-10T08:06:30
,10,Queue,tt_um_qubitbytes_alive,,4,Queue tt_um_qubitbytes_alive,2026-01-10T08:06:40
,40,Abort,,,,abort rp2 temp auto-starting tt_um_qubitbytes_alive,2026-01-10T08:07:20
,240,Abort,,,,ensure tt_um_qubitbytes_alive is done,2026-01-10T08:11:20
,0,Ping,,0x4c5032,,Ping LP2,2026-01-10T08:11:20
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,2026-01-10T08:11:30
,0,Queue,tt_contributors,0x01,128,Queue tt_contributors,2026-01-10T08:11:30
,40,Abort,,,,abort osc bones auto-launching contrib loto,2026-01-10T08:12:10
,10,Queue,tt_um_urish_spell,,5,Queue tt_um_urish_spell,2026-01-10T08:12:20
,240,Abort,,,,ensure tt_um_urish_spell is done,2026-01-10T08:16:20
,0,Ping,,0x4c5033,,Ping LP3,2026-01-10T08:16:20
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,2026-01-10T08:16:30
,0,Queue,rp2_temperature,0x000000000F0000,13,Queue rp2_temperature,2026-01-10T08:16:30
,40,Abort,,,,abort osc bones auto-launching rp temp,2026-01-10T08:17:10
,10,Queue,wokwi_universal_gates_049,,6,Queue wokwi_universal_gates_049,2026-01-10T08:17:20
