start datetime,delta s,action,experiment,param,experiment id,comment,packet datetime
2026-01-23T08:00:00,,Status,,,,,2026-01-23T08:00:00
,20,Ping,,,,,2026-01-23T08:00:20
,10,Run,tt_um_MichaelBell_tinyQV,0x0200000459,8,"Tests 601 for primality, should be prime",2026-01-23T08:00:30
,10,Queue,tt_um_MichaelBell_tinyQV,0x03,8,"“tQSpASIC"" in first 8 bytes of result",2026-01-23T08:00:40
,90,Run,tt_um_MichaelBell_tinyQV,0x0200000549,8,"Tests 713 for primality, should have factor 23",2026-01-23T08:02:10
,10,Queue,tt_um_MichaelBell_tinyQV,0x0200000f6a,8,"Tests 2026 for primality, should have factor 2",2026-01-23T08:02:20
,70,Reboot,,,,,2026-01-23T08:03:30
,50,Run,rp2_temperature,0x11000000BA,13,,2026-01-23T08:03:10
,40,Result,,,,,2026-01-23T08:03:50
,10,Run,tt_um_oscillating_bones,0x10,3,,2026-01-23T08:04:00
,360,Reboot,,,,,2026-01-23T08:10:00
,40,Run,tt_um_ttrpg_dice,0x22,10,,2026-01-23T08:10:40
,10,Status,,,,,2026-01-23T08:10:50
,10,Abort,,,,,2026-01-23T08:11:00
,10,Run,rp2_temperature,0x11000000BA,13,,2026-01-23T08:11:10
,10,Queue,tt_um_oscillating_bones,0x10,3,,2026-01-23T08:11:20
,1080,Reboot,,,,,2026-01-23T08:29:20
,50,Run,rp2_temperature,0x11000000BA,13,,2026-01-23T08:30:10
,10,Queue,tt_um_oscillating_bones,0x10,3,,2026-01-23T08:30:20
,1080,Reboot,,,,F,2026-01-23T08:48:20
,50,Ping,,0x52425432,,,2026-01-23T08:49:10
,10,Run,rp2_temperature,0x11000000BA,13,,2026-01-23T08:49:20
,10,Queue,tt_um_oscillating_bones,0x10,3,,2026-01-23T08:49:30
,1080,Reboot,,,,,2026-01-23T09:07:30
,50,Run,rp2_temperature,0x11000000BA,13,,2026-01-23T09:08:20
,10,Queue,tt_um_oscillating_bones,0x10,3,,2026-01-23T09:08:30
,1080,Reboot,,,,,2026-01-23T09:26:30
,50,Run,rp2_temperature,0x11000000BA,13,,2026-01-23T09:27:20
,10,Queue,tt_um_oscillating_bones,0x10,3,,2026-01-23T09:27:30
,1080,Reboot,,,,,2026-01-23T09:45:30
,50,Run,tt_um_ttrpg_SEU,,18,,2026-01-23T09:46:20
,3600,Abort,,,,,2026-01-23T10:46:20
,10,Run,rp2_temperature,0x11000000BA,13,,2026-01-23T10:46:30
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
